"","district","town"
"925","文山區","明義里"
"926","內湖區","安泰里"
"927","內湖區","湖元里"
"928","士林區","東山里"
"929","士林區","東山里"
"930","士林區","蘭雅里"
"931","士林區","名山里"
"932","中山區","朱馥里"
"933","文山區","興豐里"
"934","文山區","興豐里"
"935","中正區","梅花里"
"936","士林區","福順里"
"937","內湖區","樂康里"
"938","文山區","試院里"
"939","文山區","試院里"
"940","內湖區","東湖里"
"941","士林區","葫蘆里"
"942","中正區","新營里"
"943","大安區","全安里"
"944","士林區","明勝里"
"945","內湖區","行善里"
"946","信義區","黎忠里"
"947","內湖區","湖濱里"
"948","萬華區","西門里"
"949","士林區","永福里"
"950","士林區","舊佳里"
"951","士林區","芝山里"
"952","中山區","金泰里"
"953","中山區","金泰里"
"954","大同區","玉泉里"
"955","北投區","大同里"
"956","士林區","聖山里"
"957","士林區","聖山里"
"958","士林區","福安里"
"959","松山區","中正里"
"960","士林區","永倫里"
"961","士林區","聖山里"
"962","士林區","聖山里"
"963","萬華區","日祥里"
"964","南港區","中研里"
"965","大同區","永樂里"
"966","內湖區","紫雲里"
"967","北投區","一德里"
"968","中山區","朱馥里"
"969","萬華區","忠德里"
"970","士林區","明勝里"
"971","中山區","朱園里"
"972","士林區","福順里"
"973","士林區","社園里"
"974","內湖區","安湖里"
"975","大同區","雙連里"
"976","大同區","雙連里"
"977","文山區","萬祥里"
"978","士林區","福華里"
"979","內湖區","港華里"
"980","大同區","建功里"
"981","大同區","雙連里"
"982","信義區","中坡里"
"983","信義區","大道里"
"984","大同區","民權里"
"985","內湖區","西康里"
"986","內湖區","葫洲里"
"987","士林區","福志里"
"988","內湖區","紫星里"
"989","士林區","天玉里"
"990","士林區","忠誠里"
"991","士林區","忠誠里"
"992","大安區","仁愛里"
"993","中山區","聚盛里"
"994","中山區","朱園里"
"995","士林區","臨溪里"
"996","松山區","民有里"
"997","士林區","社新里"
"998","松山區","莊敬里"
"999","大安區","福住里"
"1000","士林區","富光里"
"1001","士林區","天玉里"
"1002","信義區","國業里"
"1003","北投區","清江里"
"1004","北投區","桃源里"
"1005","南港區","舊莊里"
"1006","內湖區","五分里"
"1007","內湖區","瑞光里"
"1008","大安區","臨江里"
"1009","大安區","龍門里"
"1010","大安區","臨江里"
"1011","萬華區","糖?里"
"1012","中正區","南福里"
"1013","中山區","中央里"
"1014","士林區","葫東里"
"1015","松山區","吉祥里"
"1016","松山區","吉祥里"
"1017","松山區","民福里"
"1018","士林區","名山里"
"1019","士林區","名山里"
"1020","士林區","福安里"
"1021","北投區","關渡里"
"1022","文山區","萬美里"
"1023","文山區","萬美里"
"1024","士林區","天福里"
"1025","北投區","吉利里"
"1026","中山區","康樂里"
"1027","內湖區","港華里"
"1028","中山區","新庄里"
"1029","文山區","興邦里"
"1030","中山區","下埤里"
"1031","大同區","斯文里"
"1032","大同區","斯文里"
"1033","士林區","福佳里"
"1034","松山區","新東里"
